,val_chunks,aro_chunks
0,False,False
1,False,False
2,True,True
3,True,True
4,True,True
5,True,True
6,True,True
7,True,True
8,True,True
9,True,True
10,True,True
11,True,True
12,True,True
13,True,True
14,True,True
15,False,False
16,False,False
17,False,False
18,False,False
19,False,False
20,False,False
21,False,False
22,False,False
23,False,False
24,False,False
25,True,False
26,True,True
27,True,True
28,True,False
29,True,True
30,True,True
31,True,True
32,True,True
33,True,True
34,True,True
35,True,True
36,True,True
37,True,True
38,True,True
39,True,True
40,True,True
41,True,True
42,True,True
43,True,True
44,True,True
45,True,True
46,True,True
47,True,True
48,True,True
49,True,True
50,True,True
51,False,False
52,False,False
53,False,False
54,False,False
55,False,False
56,False,False
57,True,False
58,True,True
59,True,True
60,True,False
61,False,False
62,False,False
63,False,False
64,False,False
65,False,False
66,False,False
67,False,False
68,False,False
69,False,False
70,False,False
71,False,False
72,False,False
73,False,False
74,False,False
75,False,False
76,False,False
77,False,False
78,False,False
79,False,False
80,False,False
81,False,False
82,False,False
83,False,False
84,False,False
85,False,False
86,False,False
87,False,False
88,False,False
89,False,False
90,False,False
91,False,False
92,False,True
93,False,True
94,False,True
95,False,True
96,False,True
97,False,True
98,False,True
99,False,True
100,True,False
101,False,False
102,False,True
103,False,True
104,False,True
105,False,True
106,False,True
107,False,True
108,False,True
109,False,True
110,False,True
111,False,True
112,False,True
113,False,False
114,False,False
115,False,False
116,False,False
117,False,False
118,False,False
119,False,False
120,False,True
121,False,True
122,False,True
123,False,True
124,False,True
125,False,True
126,False,True
127,False,True
128,False,True
129,False,True
130,False,True
131,False,True
132,False,True
133,False,True
134,False,True
135,False,True
136,False,True
137,False,False
138,False,True
139,False,True
140,False,True
141,False,True
142,False,True
143,False,True
144,False,True
145,False,True
146,False,True
147,False,True
148,False,True
149,False,True
150,False,True
151,False,True
152,False,True
153,False,True
154,False,True
155,False,True
156,False,True
157,False,True
158,False,True
159,False,True
160,False,True
161,False,True
162,False,True
163,False,True
164,False,True
165,False,False
166,False,False
167,True,False
168,True,False
169,True,False
170,True,False
171,True,False
172,True,False
173,True,False
174,True,False
175,True,False
176,True,False
177,True,True
178,True,True
179,True,True
180,True,True
181,True,True
182,True,True
183,True,True
184,True,True
185,True,True
186,True,True
187,True,False
188,True,False
189,True,False
190,True,False
191,True,False
192,True,False
193,True,False
194,True,False
195,True,False
196,True,False
197,True,False
198,True,False
199,True,False
200,False,False
201,False,False
202,False,False
203,False,False
204,False,False
205,True,False
206,True,True
207,True,True
208,True,True
209,True,True
210,True,True
211,True,True
212,True,True
213,False,False
214,False,False
215,False,False
216,False,False
217,False,False
218,False,False
219,False,False
220,True,False
221,True,False
222,True,False
223,True,False
224,True,False
225,True,False
226,True,False
227,True,False
228,True,False
229,True,False
230,True,False
231,True,False
232,True,False
233,True,False
234,True,False
235,True,False
236,True,False
237,True,False
238,False,False
239,False,False
240,False,False
241,False,False
242,False,False
243,False,False
244,False,False
245,False,False
246,False,False
247,False,False
248,False,False
249,False,False
250,False,False
251,False,False
252,False,False
253,False,False
254,False,False
255,False,True
256,False,True
257,False,True
258,False,True
259,False,True
260,False,True
261,False,True
262,False,True
263,False,True
264,False,True
265,False,True
266,False,False
267,False,False
268,False,False
269,True,False
270,True,False
271,True,False
272,True,True
273,True,True
274,True,True
275,True,True
276,True,True
277,True,True
278,True,True
279,True,True
280,True,True
281,True,True
282,True,True
283,True,True
284,True,True
285,True,True
286,True,True
287,True,True
288,True,True
289,True,True
290,True,True
291,True,True
292,True,True
293,True,True
294,True,True
295,True,False
296,True,False
297,False,False
298,False,False
299,False,False
300,False,False
301,False,False
302,False,False
303,False,False
304,False,False
305,False,False
306,True,False
307,True,True
308,True,True
309,True,True
310,True,True
311,True,True
312,True,True
313,True,True
314,False,False
315,False,False
316,False,False
317,False,False
318,False,False
319,False,False
320,False,False
321,False,False
322,False,False
323,False,False
324,False,False
325,False,False
326,False,False
327,True,False
328,True,False
329,True,True
330,True,True
331,True,True
332,True,True
333,True,True
334,False,True
335,False,True
336,False,False
337,False,False
338,False,False
339,False,False
340,False,False
341,False,False
342,False,False
343,False,False
344,False,False
345,False,False
346,False,False
347,False,False
348,False,False
349,False,False
350,False,False
351,False,False
352,False,False
353,False,False
354,False,False
355,False,False
356,False,False
357,False,False
358,False,False
359,True,False
360,True,True
361,True,True
362,True,True
363,True,True
364,True,True
365,True,True
366,True,True
367,True,True
368,True,True
369,True,True
370,True,True
371,False,False
372,False,False
373,False,False
374,False,False
375,False,False
376,False,False
377,False,False
378,False,False
379,False,False
380,False,False
381,False,False
382,False,False
383,False,False
384,False,False
385,False,False
386,False,False
387,False,False
388,False,False
389,False,False
390,False,False
391,False,False
392,False,False
393,False,False
394,False,False
395,False,False
396,False,False
397,False,False
398,False,False
399,False,False
400,False,False
401,False,False
402,False,False
403,False,False
404,False,False
405,False,True
406,False,True
407,False,True
408,False,True
409,False,True
410,False,True
411,False,True
412,False,True
413,False,True
414,False,True
415,False,True
416,False,True
417,False,True
